Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,,,
Serie A,Temporada2020,Jornada 2,Napoli,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 2,Atalanta,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 2,Brescia,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 2,Milan,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 2,Udinese,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 2,Roma,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 2,Fiorentina,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 2,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 2,Cagliari,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 2,Lecce,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 2,Sampdoria,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 3,Inter,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 3,Bologna,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 3,Juventus,1,1,1,"-0,2662949","0,3066573","0,8972747"
Serie A,Temporada2020,Jornada 3,Napoli,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 3,Atalanta,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 3,Torino,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 3,Milan,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 3,Roma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 3,Lazio,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 3,Genoa,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2020,Jornada 3,Hellas Verona,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 3,Sassuolo,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 3,Cagliari,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 3,SPAL,2,0,3,"0,0442112","-0,0038488","0,5867686"
Serie A,Temporada2020,Jornada 3,Parma,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 3,Brescia,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 3,Udinese,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 3,Lecce,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 3,Fiorentina,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 3,Sampdoria,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 4,Inter,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 4,Juventus,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 4,Napoli,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 4,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 4,Lazio,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 4,Atalanta,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 4,Bologna,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 4,Sassuolo,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 4,Cagliari,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 4,Torino,2,0,3,"0,0442112","-0,0038488","0,5867686"
Serie A,Temporada2020,Jornada 4,Brescia,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 4,Milan,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 4,Hellas Verona,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 4,Genoa,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 4,Parma,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 4,Udinese,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 4,SPAL,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 4,Lecce,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 4,Sampdoria,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 4,Fiorentina,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 5,Inter,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 5,Juventus,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2020,Jornada 5,Atalanta,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 5,Napoli,1,0,8,"0,3061335","-0,2657711","0,3248463"
Serie A,Temporada2020,Jornada 5,Cagliari,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 5,Torino,2,0,1,"-0,043182","0,0835444","0,6741618"
Serie A,Temporada2020,Jornada 5,Roma,2,0,3,"0,0442112","-0,0038488","0,5867686"
Serie A,Temporada2020,Jornada 5,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 5,Lazio,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 5,Sassuolo,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 5,Brescia,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 5,Parma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 5,Milan,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 5,Lecce,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 5,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 5,Hellas Verona,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 5,Genoa,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 5,Udinese,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 5,SPAL,2,0,3,"0,0442112","-0,0038488","0,5867686"
Serie A,Temporada2020,Jornada 5,Sampdoria,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 6,Inter,0,0,7,"0,3058762","-0,2655138","0,3251036"
Serie A,Temporada2020,Jornada 6,Juventus,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 6,Atalanta,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2020,Jornada 6,Napoli,2,1,4,"-0,1786444","0,2190068","0,8096242"
Serie A,Temporada2020,Jornada 6,Roma,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 6,Lazio,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 6,Cagliari,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 6,Torino,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 6,Parma,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 6,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 6,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 6,Udinese,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 6,Sassuolo,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 6,Hellas Verona,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 6,Brescia,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 6,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 6,Lecce,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 6,Genoa,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 6,SPAL,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 6,Sampdoria,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 7,Juventus,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 7,Inter,1,1,4,"-0,1352051","0,1755675","0,7661849"
Serie A,Temporada2020,Jornada 7,Atalanta,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 7,Napoli,1,1,5,"-0,0915085","0,1318709","0,7224883"
Serie A,Temporada2020,Jornada 7,Roma,1,1,3,"-0,1789017","0,2192641","0,8098815"
Serie A,Temporada2020,Jornada 7,Lazio,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 7,Cagliari,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 7,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 7,Torino,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 7,Sassuolo,1,0,7,"0,2624369","-0,2220745","0,3685429"
Serie A,Temporada2020,Jornada 7,Hellas Verona,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 7,Bologna,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 7,Parma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 7,Milan,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 7,Udinese,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 7,Brescia,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 7,SPAL,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 7,Lecce,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 7,Genoa,1,1,4,"-0,1352051","0,1755675","0,7661849"
Serie A,Temporada2020,Jornada 7,Sampdoria,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 8,Juventus,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 8,Inter,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 8,Atalanta,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 8,Napoli,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 8,Cagliari,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 8,Roma,0,1,2,"-0,179159","0,2195214","0,8101388"
Serie A,Temporada2020,Jornada 8,Lazio,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 8,Parma,1,1,4,"-0,1352051","0,1755675","0,7661849"
Serie A,Temporada2020,Jornada 8,Fiorentina,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 8,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 8,Udinese,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 8,Milan,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 8,Sassuolo,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2020,Jornada 8,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 8,Hellas Verona,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 8,Brescia,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 8,Lecce,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 8,SPAL,2,0,1,"-0,043182","0,0835444","0,6741618"
Serie A,Temporada2020,Jornada 8,Genoa,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 8,Sampdoria,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 9,Juventus,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 9,Inter,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 9,Atalanta,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 9,Napoli,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 9,Roma,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 9,Lazio,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 9,Cagliari,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 9,Parma,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 9,Sassuolo,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 9,Fiorentina,2,1,0,"-0,3534308","0,3937932","0,9844106"
Serie A,Temporada2020,Jornada 9,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 9,Torino,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 9,Milan,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 9,Udinese,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 9,Hellas Verona,2,0,2,"0,0005146","0,0398478","0,6304652"
Serie A,Temporada2020,Jornada 9,Lecce,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 9,Genoa,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 9,Brescia,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 9,SPAL,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 9,Sampdoria,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 10,Juventus,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 10,Inter,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 10,Atalanta,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 10,Roma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 10,Lazio,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 10,Napoli,0,1,5,"-0,0480692","0,0884316","0,679049"
Serie A,Temporada2020,Jornada 10,Cagliari,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 10,Fiorentina,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 10,Parma,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 10,Milan,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 10,Sassuolo,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 10,Bologna,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 10,Hellas Verona,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 10,Torino,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 10,Udinese,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 10,Lecce,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 10,Genoa,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 10,Brescia,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 10,SPAL,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 10,Sampdoria,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 11,Juventus,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 11,Inter,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 11,Roma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 11,Lazio,0,1,4,"-0,0917658","0,1321282","0,7227456"
Serie A,Temporada2020,Jornada 11,Atalanta,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 11,Cagliari,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 11,Napoli,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 11,Fiorentina,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 11,Hellas Verona,1,1,2,"-0,2225983","0,2629607","0,8535781"
Serie A,Temporada2020,Jornada 11,Parma,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 11,Sassuolo,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 11,Milan,0,1,2,"-0,179159","0,2195214","0,8101388"
Serie A,Temporada2020,Jornada 11,Udinese,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 11,Bologna,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 11,Torino,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 11,Lecce,0,1,4,"-0,0917658","0,1321282","0,7227456"
Serie A,Temporada2020,Jornada 11,Genoa,2,0,1,"-0,043182","0,0835444","0,6741618"
Serie A,Temporada2020,Jornada 11,Sampdoria,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 11,Brescia,2,0,2,"0,0005146","0,0398478","0,6304652"
Serie A,Temporada2020,Jornada 11,SPAL,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 12,Juventus,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 12,Inter,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 12,Lazio,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 12,Cagliari,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 12,Atalanta,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 12,Roma,2,1,1,"-0,3097342","0,3500966","0,940714"
Serie A,Temporada2020,Jornada 12,Napoli,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 12,Parma,1,1,2,"-0,2225983","0,2629607","0,8535781"
Serie A,Temporada2020,Jornada 12,Sassuolo,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 12,Fiorentina,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 12,Hellas Verona,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 12,Torino,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 12,Udinese,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 12,Milan,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 12,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 12,Lecce,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2020,Jornada 12,Genoa,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 12,Sampdoria,0,1,2,"-0,179159","0,2195214","0,8101388"
Serie A,Temporada2020,Jornada 12,SPAL,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2020,Jornada 12,Brescia,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 13,Juventus,0,1,3,"-0,1354624","0,1758248","0,7664422"
Serie A,Temporada2020,Jornada 13,Inter,1,1,2,"-0,2225983","0,2629607","0,8535781"
Serie A,Temporada2020,Jornada 13,Lazio,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 13,Cagliari,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 13,Roma,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 13,Atalanta,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 13,Napoli,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 13,Parma,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 13,Hellas Verona,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 13,Sassuolo,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 13,Fiorentina,2,1,4,"-0,1786444","0,2190068","0,8096242"
Serie A,Temporada2020,Jornada 13,Torino,1,1,2,"-0,2225983","0,2629607","0,8535781"
Serie A,Temporada2020,Jornada 13,Milan,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 13,Udinese,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 13,Bologna,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 13,Sampdoria,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 13,Lecce,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 13,Genoa,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 13,SPAL,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 13,Brescia,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 14,Inter,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 14,Juventus,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 14,Lazio,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 14,Cagliari,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 14,Roma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 14,Atalanta,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 14,Napoli,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 14,Parma,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 14,Hellas Verona,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 14,Sassuolo,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 14,Torino,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 14,Milan,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 14,Bologna,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 14,Fiorentina,1,0,4,"0,1313471","-0,0909847","0,4996327"
