Liga,Temporada,Jornada,Equipo,Cambios realizados portero partido,Cambios realizados centrocampista partido,Cambios realizados delantero partido,Y LAMBDA,EXP LAMBDA
Serie A,Temporada2020,Jornada 2,Napoli,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Atalanta,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 2,Brescia,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Roma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Fiorentina,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,SPAL,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Cagliari,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 2,Lecce,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 2,Sampdoria,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 3,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Bologna,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 3,Juventus,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Napoli,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 3,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Milan,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 3,Roma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Lazio,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Genoa,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 3,Hellas Verona,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 3,Sassuolo,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 3,Cagliari,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 3,SPAL,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 3,Parma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Brescia,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 3,Udinese,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 3,Lecce,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 3,Fiorentina,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 3,Sampdoria,0,0,0,"0,0979984","1,1029610204"
Serie A,Temporada2020,Jornada 4,Inter,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 4,Juventus,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 4,Napoli,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 4,Roma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 4,Lazio,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 4,Atalanta,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 4,Bologna,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 4,Sassuolo,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 4,Cagliari,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 4,Torino,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 4,Brescia,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 4,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 4,Hellas Verona,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 4,Genoa,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 4,Parma,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 4,Udinese,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 4,SPAL,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 4,Lecce,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 4,Sampdoria,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 4,Fiorentina,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 5,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,Juventus,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,Atalanta,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Napoli,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 5,Cagliari,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Torino,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 5,Roma,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 5,Bologna,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Lazio,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Sassuolo,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Brescia,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,Parma,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 5,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,Lecce,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Fiorentina,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 5,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 5,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 5,SPAL,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 5,Sampdoria,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 6,Inter,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 6,Juventus,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 6,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 6,Napoli,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 6,Roma,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 6,Lazio,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 6,Cagliari,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 6,Torino,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 6,Parma,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 6,Fiorentina,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 6,Bologna,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 6,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 6,Sassuolo,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 6,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 6,Brescia,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 6,Milan,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 6,Lecce,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 6,Genoa,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 6,SPAL,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 6,Sampdoria,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 7,Juventus,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 7,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 7,Atalanta,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 7,Napoli,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 7,Roma,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 7,Lazio,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 7,Cagliari,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 7,Fiorentina,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 7,Torino,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 7,Sassuolo,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 7,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 7,Bologna,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 7,Parma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 7,Milan,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 7,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 7,Brescia,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 7,SPAL,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 7,Lecce,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 7,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 7,Sampdoria,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Juventus,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,Inter,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 8,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Napoli,0,0,3,"0,3126409","1,3670305422"
Serie A,Temporada2020,Jornada 8,Cagliari,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 8,Roma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 8,Parma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Fiorentina,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 8,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Milan,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,Sassuolo,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 8,Bologna,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,Brescia,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,Lecce,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 8,SPAL,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 8,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 8,Sampdoria,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Juventus,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 9,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Napoli,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Roma,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 9,Lazio,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 9,Cagliari,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 9,Parma,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 9,Sassuolo,0,0,3,"0,3126409","1,3670305422"
Serie A,Temporada2020,Jornada 9,Fiorentina,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 9,Bologna,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Torino,0,0,0,"0,0979984","1,1029610204"
Serie A,Temporada2020,Jornada 9,Milan,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 9,Udinese,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 9,Hellas Verona,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 9,Lecce,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,Genoa,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 9,Brescia,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 9,SPAL,0,0,0,"0,0979984","1,1029610204"
Serie A,Temporada2020,Jornada 9,Sampdoria,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 10,Juventus,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 10,Inter,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 10,Atalanta,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 10,Roma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 10,Lazio,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Napoli,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 10,Cagliari,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 10,Fiorentina,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Parma,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 10,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Sassuolo,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 10,Bologna,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 10,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 10,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Lecce,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 10,Genoa,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 10,Brescia,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 10,SPAL,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 10,Sampdoria,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 11,Juventus,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 11,Inter,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 11,Roma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 11,Lazio,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 11,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 11,Cagliari,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 11,Napoli,0,0,3,"0,3126409","1,3670305422"
Serie A,Temporada2020,Jornada 11,Fiorentina,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 11,Hellas Verona,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 11,Parma,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 11,Sassuolo,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 11,Milan,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 11,Udinese,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 11,Bologna,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 11,Torino,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 11,Lecce,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 11,Genoa,0,0,0,"0,0979984","1,1029610204"
Serie A,Temporada2020,Jornada 11,Sampdoria,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 11,Brescia,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 11,SPAL,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 12,Juventus,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 12,Inter,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 12,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 12,Cagliari,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 12,Atalanta,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 12,Roma,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 12,Napoli,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 12,Parma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Sassuolo,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 12,Fiorentina,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Hellas Verona,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 12,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Milan,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 12,Bologna,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 12,Lecce,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Sampdoria,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 12,SPAL,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 12,Brescia,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 13,Juventus,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 13,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 13,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 13,Cagliari,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 13,Roma,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 13,Atalanta,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 13,Napoli,0,0,3,"0,3126409","1,3670305422"
Serie A,Temporada2020,Jornada 13,Parma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 13,Hellas Verona,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 13,Sassuolo,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 13,Fiorentina,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 13,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 13,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 13,Udinese,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 13,Bologna,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 13,Sampdoria,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 13,Lecce,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 13,Genoa,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 13,SPAL,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 13,Brescia,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 14,Inter,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 14,Juventus,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 14,Lazio,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 14,Cagliari,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,Roma,0,0,3,"0,3126409","1,3670305422"
Serie A,Temporada2020,Jornada 14,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,Napoli,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,Parma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 14,Hellas Verona,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 14,Sassuolo,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 14,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,Milan,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 14,Bologna,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 14,Fiorentina,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,Lecce,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 14,Udinese,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 14,Sampdoria,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 14,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 14,SPAL,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 14,Brescia,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Inter,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 15,Juventus,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 15,Lazio,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 15,Cagliari,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Roma,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 15,Atalanta,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 15,Napoli,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 15,Parma,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 15,Torino,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 15,Milan,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 15,Sassuolo,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 15,Hellas Verona,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Bologna,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Fiorentina,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 15,Lecce,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 15,Udinese,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Sampdoria,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 15,Genoa,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 15,Brescia,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 15,SPAL,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 16,Inter,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 16,Juventus,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 16,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 16,Roma,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 16,Cagliari,0,3,0,"0,2111596","1,2351094628"
Serie A,Temporada2020,Jornada 16,Atalanta,0,1,1,"0,2072663","1,2303101598"
