copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2019,28 Jul 18,Casertana,Picerno,2 - 0
Temporada2019,29 Jul 18,Alessandria,Giana Erminio,0 - 1
Temporada2019,29 Jul 18,AlbinoLeffe,Pordenone,0 - 1
Temporada2019,29 Jul 18,Vicenza ,Chieri,2 - 1
Temporada2019,04 Ago 18,Ascoli,Viterbese,0 - 4
Temporada2019,04 Ago 18,Spezia,SS Sambenedettese Calcio,2 - 1
Temporada2019,04 Ago 18,Carpi,Ternana Calcio,0 - 2
Temporada2019,05 Ago 18,US Foggia,Catania,1 - 3
Temporada2019,05 Ago 18,Hellas Verona,Juve Stabia,4 - 1
Temporada2019,05 Ago 18,Brescia,Pro Vercelli,1 - 1
Temporada2019,05 Ago 18,Perugia,Novara Calcio,1 - 3
Temporada2019,05 Ago 18,Cittadella,MonoPoli,1 - 0
Temporada2019,05 Ago 18,Benevento,Imolese,3 - 1
Temporada2019,04 Ago 18,Trapani,Nuova Cosenza,1 - 2
Temporada2019,05 Ago 18,Venezia,Sudtirol,0 - 1
Temporada2019,07 Ago 18,Lecce,Feralpisalò,1 - 0
Temporada2019,05 Ago 18,Virtus Entella,Siena,3 - 0
Temporada2019,05 Ago 18,Salernitana,Rezzato,6 - 1
Temporada2019,05 Ago 18,Padova,AC Monza,1 - 0
Temporada2019,05 Ago 18,Livorno,Casertana,1 - 1
Temporada2019,05 Ago 18,Crotone,Giana Erminio,4 - 0
Temporada2019,05 Ago 18,Pescara,Pordenone,2 - 2
Temporada2019,05 Ago 18,SSD Palermo,Vicenza ,2 - 2
Temporada2019,05 Ago 18,Cremonese,Pisa,3 - 3
Temporada2019,12 Ago 18,Sampdoria,Viterbese,1 - 0
Temporada2019,12 Ago 18,Spezia,SPAL,0 - 1
Temporada2019,12 Ago 18,Sassuolo,Ternana Calcio,5 - 1
Temporada2019,12 Ago 18,Livorno,Crotone,0 - 1
Temporada2019,12 Ago 18,Parma,Pisa,0 - 1
Temporada2019,12 Ago 18,Virtus Entella,Salernitana,2 - 0
Temporada2019,12 Ago 18,Empoli,Cittadella,0 - 3
Temporada2019,11 Ago 18,Udinese,Benevento,1 - 2
Temporada2019,12 Ago 18,Torino,Nuova Cosenza,4 - 0
Temporada2019,12 Ago 18,Frosinone,Sudtirol,0 - 2
Temporada2019,12 Ago 18,Brescia,Novara Calcio,2 - 2
Temporada2019,12 Ago 18,Bologna,Padova,2 - 0
Temporada2019,12 Ago 18,Catania,Hellas Verona,2 - 0
Temporada2019,12 Ago 18,Chievo,Pescara,1 - 0
Temporada2019,12 Ago 18,Cagliari,SSD Palermo,2 - 1
Temporada2019,11 Ago 18,Genoa,Lecce,4 - 0
Temporada2019,04 Dic 18,Benevento,Cittadella,1 - 0
Temporada2019,04 Dic 18,Bologna,Crotone,3 - 0
Temporada2019,05 Dic 18,Chievo,Cagliari,1 - 2
Temporada2019,06 Dic 18,Genoa,Virtus Entella,3 - 3
Temporada2019,05 Dic 18,Novara Calcio,Pisa,3 - 2
Temporada2019,04 Dic 18,Sampdoria,SPAL,2 - 1
Temporada2019,05 Dic 18,Sassuolo,Catania,2 - 1
Temporada2019,06 Dic 18,Torino,Sudtirol,2 - 0
Temporada2019,12 Ene 19,Sampdoria,Milan,0 - 2
Temporada2019,13 Ene 19,Napoli,Sassuolo,2 - 0
Temporada2019,12 Ene 19,Lazio,Novara Calcio,4 - 1
Temporada2019,13 Ene 19,Inter,Benevento,6 - 2
Temporada2019,13 Ene 19,Torino,Fiorentina,0 - 2
Temporada2019,14 Ene 19,Roma,Virtus Entella,4 - 0
Temporada2019,12 Ene 19,Bologna,Juventus,0 - 2
Temporada2019,14 Ene 19,Cagliari,Atalanta,0 - 2
Temporada2019,29 Ene 19,Milan,Napoli,2 - 0
Temporada2019,31 Ene 19,Inter,Lazio,1 - 1
Temporada2019,30 Ene 19,Atalanta,Juventus,3 - 0
Temporada2019,30 Ene 19,Fiorentina,Roma,7 - 1
Temporada2019,27 Feb 19,Fiorentina,Atalanta,3 - 3
Temporada2019,25 Abr 19,Atalanta,Fiorentina,2 - 1
Temporada2019,24 Abr 19,Milan,Lazio,0 - 1
Temporada2019,26 Feb 19,Lazio,Milan,0 - 0
Temporada2019,15 May 19,Atalanta,Lazio,0 - 2
Temporada2018,30 Jul 17,SS Sambenedettese Calcio,AS Lucchese Libertas 1905,2 - 0
Temporada2018,30 Jul 17,Piacenza,Massese,1 - 0
Temporada2018,30 Jul 17,Trapani,Paganese,6 - 0
Temporada2018,30 Jul 17,Livorno,Feralpisalò,0 - 0
Temporada2018,30 Jul 17,Nuova Cosenza,Alessandria,2 - 3
Temporada2018,30 Jul 17,Trastevere,Reggiana,1 - 2
Temporada2018,30 Jul 17,Pisa,Varese,3 - 1
Temporada2018,30 Jul 17,AS Gubbio 1910,Nuova Monterosi,1 - 0
Temporada2018,30 Jul 17,Juve Stabia,Bassano Virtus,3 - 1
Temporada2018,30 Jul 17,Matera,Casertana,2 - 0
Temporada2018,30 Jul 17,Virtus Francavilla,Imolese,3 - 1
Temporada2018,30 Jul 17,Lecce,Pol. Ciliverghe,3 - 0
Temporada2018,30 Jul 17,Pordenone,Matelica Calcio,2 - 0
Temporada2018,30 Jul 17,Padova,Rende,2 - 1
Temporada2018,29 Jul 17,AC Arezzo,Triestina ,0 - 1
Temporada2018,30 Jul 17,Giana Erminio,AlbinoLeffe,1 - 3
Temporada2018,30 Jul 17,Renate,Siracusa,3 - 1
Temporada2018,30 Jul 17,Vicenza ,Pro Piacenza,4 - 1
Temporada2018,06 Ago 17,Virtus Entella,Cremonese,0 - 1
Temporada2018,06 Ago 17,SSC Bari,Parma,2 - 1
Temporada2018,06 Ago 17,Cesena,SS Sambenedettese Calcio,2 - 1
Temporada2018,06 Ago 17,Novara Calcio,Piacenza,1 - 2
Temporada2018,06 Ago 17,Ternana Calcio,Trapani,0 - 1
Temporada2018,06 Ago 17,Carpi,Livorno,4 - 0
Temporada2018,06 Ago 17,Salernitana,Alessandria,2 - 1
Temporada2018,05 Ago 17,Spezia,Reggiana,3 - 0
Temporada2018,06 Ago 17,Pisa,Frosinone,0 - 1
Temporada2018,06 Ago 17,Perugia,AS Gubbio 1910,2 - 1
Temporada2018,05 Ago 17,Ascoli,Juve Stabia,3 - 2
Temporada2018,06 Ago 17,Avellino,Matera,1 - 0
Temporada2018,06 Ago 17,SSD Palermo,Virtus Francavilla,5 - 0
Temporada2018,05 Ago 17,Pro Vercelli,Lecce,1 - 2
Temporada2018,06 Ago 17,Venezia,Pordenone,1 - 2
Temporada2018,06 Ago 17,Vicenza ,Foggia Calcio,1 - 3
Temporada2018,06 Ago 17,Brescia,Padova,1 - 0
Temporada2018,05 Ago 17,Empoli,Renate,2 - 2
Temporada2018,06 Ago 17,Pescara,Triestina ,5 - 3
Temporada2018,06 Ago 17,Cittadella,AlbinoLeffe,2 - 1
Temporada2018,13 Ago 17,Genoa,Cesena,2 - 1
Temporada2018,12 Ago 17,Crotone,Piacenza,2 - 1
Temporada2018,11 Ago 17,Torino,Trapani,7 - 1
Temporada2018,12 Ago 17,SSC Bari,Cremonese,2 - 1
Temporada2018,12 Ago 17,Sassuolo,Spezia,2 - 0
Temporada2018,12 Ago 17,Brescia,Pescara,1 - 3
Temporada2018,12 Ago 17,Udinese,Frosinone,3 - 2
Temporada2018,12 Ago 17,Benevento,Perugia,0 - 4
Temporada2018,12 Ago 17,Chievo,Ascoli,2 - 1
Temporada2018,13 Ago 17,Hellas Verona,Avellino,3 - 1
Temporada2018,12 Ago 17,Cagliari,SSD Palermo,1 - 1
Temporada2018,12 Ago 17,Carpi,Salernitana,3 - 3
Temporada2018,12 Ago 17,Sampdoria,Foggia Calcio,3 - 0
Temporada2018,12 Ago 17,Pordenone,Lecce,3 - 2
Temporada2018,12 Ago 17,Bologna,Cittadella,0 - 3
Temporada2018,12 Ago 17,SPAL,Renate,1 - 0
Temporada2018,30 Nov 17,Genoa,Crotone,1 - 0
Temporada2018,29 Nov 17,Torino,Carpi,2 - 0
Temporada2018,29 Nov 17,Sassuolo,SSC Bari,2 - 1
Temporada2018,30 Nov 17,Udinese,Perugia,8 - 3
Temporada2018,29 Nov 17,Chievo,Hellas Verona,1 - 1
Temporada2018,28 Nov 17,Cagliari,Pordenone,1 - 2
Temporada2018,28 Nov 17,Sampdoria,Pescara,4 - 1
Temporada2018,28 Nov 17,SPAL,Cittadella,0 - 2
Temporada2018,12 Dic 17,Inter,Pordenone,0 - 0
Temporada2018,13 Dic 17,Fiorentina,Sampdoria,3 - 2
Temporada2018,13 Dic 17,Milan,Hellas Verona,3 - 0
Temporada2018,14 Dic 17,Lazio,Cittadella,4 - 1
Temporada2018,19 Dic 17,Napoli,Udinese,1 - 0
Temporada2018,20 Dic 17,Atalanta,Sassuolo,2 - 1
Temporada2018,20 Dic 17,Roma,Torino,1 - 2
Temporada2018,20 Dic 17,Juventus,Genoa,2 - 0
Temporada2018,26 Dic 17,Lazio,Fiorentina,1 - 0
Temporada2018,27 Dic 17,Milan,Inter,1 - 0
Temporada2018,02 Ene 18,Napoli,Atalanta,1 - 2
Temporada2018,03 Ene 18,Juventus,Torino,2 - 0
Temporada2018,31 Ene 18,Milan,Lazio,0 - 0
Temporada2018,28 Feb 18,Lazio,Milan,0 - 0
Temporada2018,28 Feb 18,Juventus,Atalanta,1 - 0
Temporada2018,30 Ene 18,Atalanta,Juventus,0 - 1
Temporada2018,09 May 18,Juventus,Milan,4 - 0
Temporada2017,31 Jul 16,Alessandria,Teramo,2 - 1
Temporada2017,31 Jul 16,Ancona 1905,Sudtirol,4 - 3
Temporada2017,31 Jul 16,Bassano Virtus,Fidelis Andria,1 - 1
Temporada2017,31 Jul 16,Carrarese,AC Arezzo,1 - 2
Temporada2017,31 Jul 16,Casertana,Tuttocuoio,3 - 2
Temporada2017,31 Jul 16,Como,Valdinievole Montecatini,3 - 0
Temporada2017,31 Jul 16,Nuova Cosenza,Nerostellati Frattese,1 - 0
Temporada2017,31 Jul 16,Cremonese,Fermana,4 - 3
Temporada2017,31 Jul 16,Foggia Calcio,Pontedera,3 - 1
Temporada2017,30 Jul 16,Lecce,Alto Vicentino,2 - 1
Temporada2017,29 Jul 16,Livorno,Juve Stabia,1 - 3
Temporada2017,31 Jul 16,Matera,Caronnese,2 - 1
Temporada2017,31 Jul 16,Modena,Francavilla Calcio,2 - 0
Temporada2017,31 Jul 16,Padova,Seregno,0 - 0
Temporada2017,31 Jul 16,Pordenone,Grosseto,5 - 2
Temporada2017,31 Jul 16,Siena,Messina,0 - 3
Temporada2017,30 Jul 16,Campodarsego,Maceratese,3 - 3
Temporada2017,31 Jul 16,Feralpisalò,Reggiana,2 - 3
Temporada2017,08 Ago 16,Ascoli,Lecce,2 - 2
Temporada2017,07 Ago 16,Bassano Virtus,Avellino,2 - 0
Temporada2017,07 Ago 16,SSC Bari,Nuova Cosenza,1 - 0
Temporada2017,07 Ago 16,Brescia,Pisa,0 - 2
Temporada2017,06 Ago 16,Carpi,Maceratese,3 - 2
Temporada2017,07 Ago 16,Cesena,AC Arezzo,2 - 0
Temporada2017,07 Ago 16,Cittadella,Cremonese,1 - 2
Temporada2017,07 Ago 16,Frosinone,Como,3 - 0
Temporada2017,07 Ago 16,Latina,Matera,1 - 0
Temporada2017,07 Ago 16,Novara Calcio,Juve Stabia,2 - 1
Temporada2017,07 Ago 16,Perugia,Alessandria,1 - 0
Temporada2017,07 Ago 16,Pro Vercelli,Reggiana,3 - 1
Temporada2017,07 Ago 16,Benevento,Salernitana,0 - 0
Temporada2017,07 Ago 16,SPAL,Messina,2 - 0
Temporada2017,06 Ago 16,Spezia,Modena,1 - 0
Temporada2017,07 Ago 16,Ternana Calcio,Pordenone,2 - 0
Temporada2017,07 Ago 16,Trapani,Seregno,3 - 0
Temporada2017,07 Ago 16,Vicenza ,Casertana,4 - 2
Temporada2017,07 Ago 16,Virtus Entella,Ancona 1905,2 - 0
Temporada2017,05 Ago 16,Hellas Verona,Foggia Calcio,2 - 1
Temporada2017,12 Ago 16,SSD Palermo,SSC Bari,1 - 0
Temporada2017,13 Ago 16,Udinese,Spezia,2 - 3
Temporada2017,14 Ago 16,Hellas Verona,Crotone,2 - 1
Temporada2017,13 Ago 16,Chievo,Virtus Entella,3 - 0
Temporada2017,13 Ago 16,Novara Calcio,Latina,1 - 0
Temporada2017,13 Ago 16,Atalanta,Cremonese,3 - 0
Temporada2017,13 Ago 16,Pescara,Frosinone,2 - 0
Temporada2017,12 Ago 16,Bologna,Trapani,2 - 0
Temporada2017,15 Ago 16,Cagliari,SPAL,5 - 1
Temporada2017,13 Ago 16,Cesena,Ternana Calcio,2 - 0
Temporada2017,13 Ago 16,Empoli,Vicenza ,2 - 0
Temporada2017,13 Ago 16,Perugia,Carpi,2 - 1
Temporada2017,14 Ago 16,Salernitana,Pisa,1 - 1
Temporada2017,14 Ago 16,Sampdoria,Bassano Virtus,3 - 0
Temporada2017,13 Ago 16,Torino,Pro Vercelli,4 - 1
Temporada2017,12 Ago 16,Genoa,Lecce,3 - 2
Temporada2017,30 Nov 16,SSD Palermo,Spezia,0 - 0
Temporada2017,29 Nov 16,Chievo,Novara Calcio,3 - 0
Temporada2017,29 Nov 16,Torino,Pisa,4 - 0
Temporada2017,30 Nov 16,Atalanta,Pescara,3 - 0
Temporada2017,01 Dic 16,Bologna,Hellas Verona,4 - 0
Temporada2017,01 Dic 16,Genoa,Perugia,4 - 3
Temporada2017,29 Nov 16,Empoli,Cesena,1 - 2
Temporada2017,30 Nov 16,Sampdoria,Cagliari,3 - 0
Temporada2017,10 Ene 17,Napoli,Spezia,3 - 1
Temporada2017,11 Ene 17,Fiorentina,Chievo,1 - 0
Temporada2017,12 Ene 17,Milan,Torino,2 - 1
Temporada2017,11 Ene 17,Juventus,Atalanta,3 - 2
Temporada2017,17 Ene 17,Inter,Bologna,3 - 2
Temporada2017,18 Ene 17,Lazio,Genoa,4 - 2
Temporada2017,18 Ene 17,Sassuolo,Cesena,1 - 2
Temporada2017,19 Ene 17,Roma,Sampdoria,4 - 0
Temporada2017,24 Ene 17,Napoli,Fiorentina,1 - 0
Temporada2017,25 Ene 17,Juventus,Milan,2 - 1
Temporada2017,31 Ene 17,Inter,Lazio,1 - 2
Temporada2017,01 Feb 17,Roma,Cesena,2 - 1
Temporada2017,28 Feb 17,Juventus,Napoli,3 - 1
Temporada2017,05 Abr 17,Napoli,Juventus,3 - 2
Temporada2017,04 Abr 17,Roma,Lazio,3 - 2
Temporada2017,01 Mar 17,Lazio,Roma,2 - 0
Temporada2017,17 May 17,Juventus,Lazio,2 - 0
