copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2020,11 Ene 20,UCAM Murcia,Mirandés,2 - 3
Temporada2020,11 Ene 20,F.C. Cartagena,Girona,2 - 4
Temporada2020,11 Ene 20,CD Ebro,Ponferradina,1 - 0
Temporada2020,11 Ene 20,UD Logroñés,Cádiz,1 - 1
Temporada2020,11 Ene 20,UD Ibiza,Albacete,1 - 1
Temporada2020,12 Ene 20,Mérida AD,Celta de Vigo,1 - 4
Temporada2020,22 Ene 20,UD Ibiza,Barcelona,1 - 2
Temporada2020,22 Ene 20,UD Logroñés,Valencia,0 - 1
Temporada2020,23 Ene 20,Cultural Leonesa,Atlético Madrid,2 - 1
Temporada2020,22 Ene 20,Unionistas CF,Real Madrid,1 - 3
Temporada2020,23 Ene 20,CD Ebro,Leganés,0 - 1
Temporada2020,23 Ene 20,CD Badajoz,Eibar,3 - 1
Temporada2020,22 Ene 20,Badalona,Granada,1 - 3
Temporada2020,21 Ene 20,Recreativo,Osasuna,2 - 3
Temporada2020,23 Ene 20,Rayo Vallecano,Real Betis,2 - 2
Temporada2020,23 Ene 20,Mirandés,Celta de Vigo,2 - 1
Temporada2020,22 Ene 20,Tenerife,Real Valladolid,2 - 1
Temporada2020,22 Ene 20,Girona,Villarreal,0 - 3
Temporada2020,22 Ene 20,Elche,Athletic Bilbao,1 - 1
Temporada2020,21 Ene 20,Real Zaragoza,Real Mallorca,3 - 1
Temporada2020,21 Ene 20,Sevilla,Levante,3 - 1
Temporada2020,22 Ene 20,Real Sociedad,Espanyol,2 - 0
Temporada2020,29 Ene 20,CD Badajoz,Granada,2 - 3
Temporada2020,29 Ene 20,Cultural Leonesa,Valencia,0 - 0
Temporada2020,28 Ene 20,Tenerife,Athletic Bilbao,3 - 3
Temporada2020,29 Ene 20,Real Zaragoza,Real Madrid,0 - 4
Temporada2020,30 Ene 20,Mirandés,Sevilla,3 - 1
Temporada2020,29 Ene 20,Rayo Vallecano,Villarreal,0 - 2
Temporada2020,30 Ene 20,Barcelona,Leganés,5 - 0
Temporada2020,29 Ene 20,Real Sociedad,Osasuna,3 - 1
Temporada2020,06 Feb 20,Real Madrid,Real Sociedad,3 - 4
Temporada2020,06 Feb 20,Athletic Bilbao,Barcelona,1 - 0
Temporada2020,04 Feb 20,Granada,Valencia,2 - 1
Temporada2020,05 Feb 20,Mirandés,Villarreal,4 - 2
Temporada2020,13 Feb 20,Real Sociedad,Mirandés,2 - 1
Temporada2020,04 Mar 20,Mirandés,Real Sociedad,0 - 1
Temporada2020,12 Feb 20,Athletic Bilbao,Granada,1 - 0
Temporada2020,05 Mar 20,Granada,Athletic Bilbao,2 - 1
Temporada2020,18 Abr 20,Real Sociedad,Athletic Bilbao,
Temporada2019,05 Sep 18,Rápido de Bouzas,Unionistas CF,0 - 4
Temporada2019,05 Sep 18,Mensajero,Compostela,0 - 3
Temporada2019,05 Sep 18,CF Internacional,Fuenlabrada,2 - 2
Temporada2019,05 Sep 18,Navalcarnero,Cultural Leonesa,0 - 2
Temporada2019,05 Sep 18,Langreo,UD Logroñés,1 - 2
Temporada2019,05 Sep 18,SD Gernika,SCD Durango,1 - 0
Temporada2019,05 Sep 18,Mirandés,Racing,0 - 1
Temporada2019,05 Sep 18,Barakaldo,Mutilvera,1 - 1
Temporada2019,05 Sep 18,CD Calahorra,Gimnástica Torrelavega,1 - 1
Temporada2019,05 Sep 18,Cornellà,UE Sant Andreu,1 - 1
Temporada2019,05 Sep 18,CD Castellón,Conquense,1 - 0
Temporada2019,05 Sep 18,Poblense,Ontinyent CF,1 - 4
Temporada2019,05 Sep 18,Lleida Esportiu,Teruel,2 - 0
Temporada2019,05 Sep 18,CD Don Benito,F.C. Cartagena,0 - 1
Temporada2019,05 Sep 18,Yeclano Deportivo,UD Melilla,1 - 2
Temporada2019,05 Sep 18,UCAM Murcia,AD Ceuta FC,2 - 0
Temporada2019,05 Sep 18,Talavera,Real Jaén,2 - 2
Temporada2019,05 Sep 18,Marbella FC,CD Ebro,0 - 1
Temporada2019,11 Sep 18,Málaga,Almería,1 - 2
Temporada2019,13 Sep 18,Las Palmas,Rayo Majadahonda,1 - 2
Temporada2019,12 Sep 18,Osasuna,Reus Deportiu,1 - 2
Temporada2019,13 Sep 18,Elche,Granada,2 - 1
Temporada2019,11 Sep 18,Real Mallorca,Real Oviedo,1 - 0
Temporada2019,12 Sep 18,Alcorcón,Extremadura,1 - 0
Temporada2019,13 Sep 18,Numancia,Real Sporting,1 - 2
Temporada2019,13 Sep 18,Albacete,Lugo,2 - 3
Temporada2019,12 Sep 18,Tenerife,Cádiz,1 - 2
Temporada2019,12 Sep 18,Córdoba,Gimnàstic Tarragona,2 - 0
Temporada2019,12 Sep 18,Real Zaragoza,Deportivo,2 - 1
Temporada2019,12 Sep 18,Villanovense,Badalona,2 - 1
Temporada2019,12 Sep 18,UD Melilla,Tudelano,3 - 0
Temporada2019,12 Sep 18,Lleida Esportiu,Compostela,1 - 0
Temporada2019,12 Sep 18,Cultural Leonesa,Fuenlabrada,1 - 1
Temporada2019,12 Sep 18,UCAM Murcia,Racing,0 - 2
Temporada2019,12 Sep 18,F.C. Cartagena,UD Logroñés,1 - 1
Temporada2019,12 Sep 18,UE Sant Andreu,SD Gernika,1 - 0
Temporada2019,12 Sep 18,CD Calahorra,CD Castellón,2 - 0
Temporada2019,12 Sep 18,Lorca FC,Unionistas CF,2 - 1
Temporada2019,12 Sep 18,CD Ebro,Real Murcia,0 - 0
Temporada2019,12 Sep 18,Ontinyent CF,Real Jaén,1 - 1
Temporada2019,17 Oct 18,Mutilvera,Villanovense,1 - 3
Temporada2019,17 Oct 18,UE Sant Andreu,CD Calahorra,1 - 0
Temporada2019,17 Oct 18,CD Ebro,Lleida Esportiu,2 - 1
Temporada2019,17 Oct 18,UD Melilla,Ontinyent CF,2 - 0
Temporada2019,17 Oct 18,Racing,UD Logroñés,1 - 0
Temporada2019,17 Oct 18,Lorca FC,Cultural Leonesa,0 - 3
Temporada2019,16 Oct 18,Elche,Córdoba,1 - 4
Temporada2019,18 Oct 18,Almería,Reus Deportiu,3 - 1
Temporada2019,18 Oct 18,Rayo Majadahonda,Real Sporting,1 - 1
Temporada2019,17 Oct 18,Lugo,Alcorcón,1 - 0
Temporada2019,17 Oct 18,Real Zaragoza,Cádiz,0 - 1
Temporada2019,31 Oct 18,Cultural Leonesa,Barcelona,0 - 1
Temporada2019,05 Dic 18,Barcelona,Cultural Leonesa,4 - 1
Temporada2019,30 Oct 18,CD Ebro,Valencia,1 - 2
Temporada2019,04 Dic 18,Valencia,CD Ebro,1 - 0
Temporada2019,30 Oct 18,UE Sant Andreu,Atlético Madrid,0 - 1
Temporada2019,05 Dic 18,Atlético Madrid,UE Sant Andreu,4 - 0
Temporada2019,31 Oct 18,UD Melilla,Real Madrid,0 - 4
Temporada2019,06 Dic 18,Real Madrid,UD Melilla,6 - 1
Temporada2019,01 Nov 18,Villanovense,Sevilla,0 - 0
Temporada2019,05 Dic 18,Sevilla,Villanovense,1 - 0
Temporada2019,01 Nov 18,Racing,Real Betis,0 - 1
Temporada2019,06 Dic 18,Real Betis,Racing,4 - 0
Temporada2019,01 Nov 18,Almería,Villarreal,3 - 3
Temporada2019,05 Dic 18,Villarreal,Almería,8 - 0
Temporada2019,31 Oct 18,Real Mallorca,Real Valladolid,1 - 2
Temporada2019,05 Dic 18,Real Valladolid,Real Mallorca,2 - 1
Temporada2019,01 Nov 18,Cádiz,Espanyol,2 - 1
Temporada2019,04 Dic 18,Espanyol,Cádiz,1 - 0
Temporada2019,01 Nov 18,Real Sporting,Eibar,2 - 0
Temporada2019,06 Dic 18,Eibar,Real Sporting,2 - 2
Temporada2019,30 Oct 18,Lugo,Levante,1 - 1
Temporada2019,06 Dic 18,Levante,Lugo,2 - 0
Temporada2019,31 Oct 18,Córdoba,Getafe,1 - 2
Temporada2019,04 Dic 18,Getafe,Córdoba,5 - 1
Temporada2019,28 Nov 18,Athletic Bilbao,Huesca,4 - 0
Temporada2019,06 Dic 18,Huesca,Athletic Bilbao,0 - 4
Temporada2019,31 Oct 18,Alavés,Girona,2 - 2
Temporada2019,05 Dic 18,Girona,Alavés,2 - 1
Temporada2019,30 Oct 18,Leganés,Rayo Vallecano,2 - 2
Temporada2019,04 Dic 18,Rayo Vallecano,Leganés,0 - 1
Temporada2019,01 Nov 18,Celta de Vigo,Real Sociedad,1 - 1
Temporada2019,05 Dic 18,Real Sociedad,Celta de Vigo,2 - 0
Temporada2019,09 Ene 19,Real Madrid,Leganés,3 - 0
Temporada2019,16 Ene 19,Leganés,Real Madrid,1 - 0
Temporada2019,15 Ene 19,Real Valladolid,Getafe,1 - 1
Temporada2019,09 Ene 19,Getafe,Real Valladolid,1 - 0
Temporada2019,10 Ene 19,Real Betis,Real Sociedad,0 - 0
Temporada2019,17 Ene 19,Real Sociedad,Real Betis,2 - 2
Temporada2019,10 Ene 19,Levante,Barcelona,2 - 1
Temporada2019,17 Ene 19,Barcelona,Levante,3 - 0
Temporada2019,16 Ene 19,Sevilla,Athletic Bilbao,0 - 1
Temporada2019,10 Ene 19,Athletic Bilbao,Sevilla,1 - 3
Temporada2019,08 Ene 19,Real Sporting,Valencia,2 - 1
Temporada2019,15 Ene 19,Valencia,Real Sporting,3 - 0
Temporada2019,09 Ene 19,Girona,Atlético Madrid,1 - 1
Temporada2019,16 Ene 19,Atlético Madrid,Girona,3 - 3
Temporada2019,17 Ene 19,Espanyol,Villarreal,3 - 1
Temporada2019,09 Ene 19,Villarreal,Espanyol,2 - 2
Temporada2019,24 Ene 19,Real Madrid,Girona,4 - 2
Temporada2019,31 Ene 19,Girona,Real Madrid,1 - 3
Temporada2019,22 Ene 19,Getafe,Valencia,1 - 0
Temporada2019,29 Ene 19,Valencia,Getafe,3 - 1
Temporada2019,23 Ene 19,Sevilla,Barcelona,2 - 0
Temporada2019,30 Ene 19,Barcelona,Sevilla,6 - 1
Temporada2019,24 Ene 19,Espanyol,Real Betis,1 - 1
Temporada2019,30 Ene 19,Real Betis,Espanyol,3 - 1
Temporada2019,07 Feb 19,Real Betis,Valencia,2 - 2
Temporada2019,28 Feb 19,Valencia,Real Betis,1 - 0
Temporada2019,06 Feb 19,Barcelona,Real Madrid,1 - 1
Temporada2019,27 Feb 19,Real Madrid,Barcelona,0 - 3
Temporada2019,25 May 19,Barcelona,Valencia,1 - 2
Temporada2018,31 Ago 17,Talavera,CD Toledo,1 - 0
Temporada2018,30 Ago 17,Rayo Majadahonda,Unión Adarve,0 - 1
Temporada2018,30 Ago 17,Ponferradina,Rápido de Bouzas,2 - 0
Temporada2018,30 Ago 17,Gimnástica Segoviana,Pontevedra,2 - 0
Temporada2018,30 Ago 17,UD Logroñés,Real Avilés,4 - 0
Temporada2018,30 Ago 17,Gimnástica Torrelavega,SCD Durango,0 - 3
Temporada2018,30 Ago 17,CD Calahorra,Real Unión de Irún,1 - 0
Temporada2018,30 Ago 17,Peña Sport,Mirandés,1 - 2
Temporada2018,30 Ago 17,Leioa,Racing,2 - 1
Temporada2018,30 Ago 17,Badalona,Elche,2 - 2
Temporada2018,06 Sep 17,SD Formentera,Tarazona,1 - 1
Temporada2018,30 Ago 17,Lleida Esportiu,UD Melilla,1 - 0
Temporada2018,30 Ago 17,Olimpic Xátiva,Olot,1 - 1
Temporada2018,30 Ago 17,UD San Fernando,Marbella FC,1 - 2
Temporada2018,30 Ago 17,F.C. Cartagena,UCAM Murcia,2 - 1
Temporada2018,30 Ago 17,Lorca Deportiva,Villanovense,3 - 1
Temporada2018,30 Ago 17,Antequera,Arcos CF,2 - 0
Temporada2018,30 Ago 17,Real Murcia,CP Cacereño,3 - 1
Temporada2018,06 Sep 17,Fuenlabrada,Mérida AD,2 - 0
Temporada2018,07 Sep 17,Osasuna,Albacete,3 - 2
Temporada2018,06 Sep 17,Real Zaragoza,Granada,3 - 0
Temporada2018,06 Sep 17,Rayo Vallecano,Tenerife,0 - 3
Temporada2018,06 Sep 17,Reus Deportiu,Real Sporting,0 - 1
Temporada2018,05 Sep 17,Gimnàstic Tarragona,Lugo,1 - 1
Temporada2018,06 Sep 17,Lorca FC,Córdoba,2 - 4
Temporada2018,06 Sep 17,Huesca,Real Valladolid,0 - 2
Temporada2018,06 Sep 17,Real Oviedo,Numancia,0 - 1
Temporada2018,07 Sep 17,Alcorcón,Cultural Leonesa,2 - 4
Temporada2018,05 Sep 17,Cádiz,Almería,1 - 0
Temporada2018,06 Sep 17,Elche,SCD Durango,3 - 2
Temporada2018,06 Sep 17,Olot,Alcoyano,1 - 0
Temporada2018,06 Sep 17,Real Murcia,Racing Ferrol,4 - 1
Temporada2018,06 Sep 17,Real Mallorca,Lleida Esportiu,0 - 0
Temporada2018,06 Sep 17,Ponferradina,Atlético Baleares,1 - 0
Temporada2018,06 Sep 17,Marbella FC,Gimnástica Segoviana,1 - 2
Temporada2018,06 Sep 17,CD Calahorra,Leioa,2 - 0
Temporada2018,06 Sep 17,F.C. Cartagena,Mirandés,2 - 1
Temporada2018,06 Sep 17,Hércules,Lorca Deportiva,2 - 1
Temporada2018,06 Sep 17,UD Logroñés,Unión Adarve,0 - 0
Temporada2018,06 Sep 17,Talavera,Antequera,3 - 1
Temporada2018,20 Sep 17,CD Calahorra,Fuenlabrada,1 - 3
Temporada2018,20 Sep 17,Talavera,F.C. Cartagena,0 - 1
Temporada2018,20 Sep 17,SD Formentera,UD Logroñés,4 - 3
Temporada2018,20 Sep 17,Gimnástica Segoviana,Ponferradina,0 - 1
Temporada2018,20 Sep 17,Córdoba,Tenerife,1 - 4
Temporada2018,19 Sep 17,Real Sporting,Numancia,1 - 1
Temporada2018,20 Sep 17,Real Murcia,Olot,3 - 1
Temporada2018,20 Sep 17,Hércules,Elche,0 - 1
Temporada2018,21 Sep 17,Real Zaragoza,Lugo,1 - 0
Temporada2018,20 Sep 17,Cádiz,Osasuna,1 - 0
Temporada2018,21 Sep 17,Cultural Leonesa,Real Valladolid,0 - 4
Temporada2018,24 Oct 17,F.C. Cartagena,Sevilla,0 - 3
Temporada2018,29 Nov 17,Sevilla,F.C. Cartagena,4 - 0
Temporada2018,25 Oct 17,Elche,Atlético Madrid,1 - 1
Temporada2018,29 Nov 17,Atlético Madrid,Elche,3 - 0
Temporada2018,24 Oct 17,Real Murcia,Barcelona,0 - 3
Temporada2018,29 Nov 17,Barcelona,Real Murcia,5 - 0
Temporada2018,28 Nov 17,Real Madrid,Fuenlabrada,2 - 2
Temporada2018,26 Oct 17,Fuenlabrada,Real Madrid,0 - 2
Temporada2018,29 Nov 17,Athletic Bilbao,SD Formentera,0 - 1
Temporada2018,25 Oct 17,SD Formentera,Athletic Bilbao,1 - 1
Temporada2018,29 Nov 17,Real Sociedad,Lleida Esportiu,2 - 3
Temporada2018,26 Oct 17,Lleida Esportiu,Real Sociedad,0 - 1
Temporada2018,30 Nov 17,Villarreal,Ponferradina,3 - 0
Temporada2018,25 Oct 17,Ponferradina,Villarreal,1 - 0
Temporada2018,24 Oct 17,Real Zaragoza,Valencia,0 - 2
Temporada2018,30 Nov 17,Valencia,Real Zaragoza,4 - 1
Temporada2018,24 Oct 17,Numancia,Málaga,2 - 1
Temporada2018,28 Nov 17,Málaga,Numancia,1 - 1
Temporada2018,25 Oct 17,Real Valladolid,Leganés,1 - 2
Temporada2018,28 Nov 17,Leganés,Real Valladolid,1 - 0
Temporada2018,24 Oct 17,Cádiz,Real Betis,1 - 2
Temporada2018,30 Nov 17,Real Betis,Cádiz,3 - 5
Temporada2018,30 Nov 17,Espanyol,Tenerife,3 - 2
Temporada2018,26 Oct 17,Tenerife,Espanyol,0 - 0
Temporada2018,30 Nov 17,Alavés,Getafe,3 - 0
Temporada2018,24 Oct 17,Getafe,Alavés,0 - 1
Temporada2018,29 Nov 17,Las Palmas,Deportivo,2 - 3
Temporada2018,26 Oct 17,Deportivo,Las Palmas,1 - 4
Temporada2018,28 Nov 17,Levante,Girona,1 - 1
Temporada2018,26 Oct 17,Girona,Levante,0 - 2
Temporada2018,25 Oct 17,Eibar,Celta de Vigo,1 - 2
Temporada2018,28 Nov 17,Celta de Vigo,Eibar,1 - 0
Temporada2018,03 Ene 18,SD Formentera,Alavés,1 - 3
Temporada2018,10 Ene 18,Alavés,SD Formentera,2 - 0
Temporada2018,03 Ene 18,Lleida Esportiu,Atlético Madrid,0 - 4
Temporada2018,09 Ene 18,Atlético Madrid,Lleida Esportiu,3 - 0
Temporada2018,04 Ene 18,Numancia,Real Madrid,0 - 3
Temporada2018,10 Ene 18,Real Madrid,Numancia,2 - 2
Temporada2018,04 Ene 18,Celta de Vigo,Barcelona,1 - 1
Temporada2018,11 Ene 18,Barcelona,Celta de Vigo,5 - 0
Temporada2018,03 Ene 18,Cádiz,Sevilla,0 - 2
Temporada2018,11 Ene 18,Sevilla,Cádiz,2 - 1
Temporada2018,04 Ene 18,Leganés,Villarreal,1 - 0
Temporada2018,10 Ene 18,Villarreal,Leganés,2 - 1
Temporada2018,03 Ene 18,Las Palmas,Valencia,1 - 1
Temporada2018,09 Ene 18,Valencia,Las Palmas,4 - 0
Temporada2018,04 Ene 18,Espanyol,Levante,1 - 2
Temporada2018,11 Ene 18,Levante,Espanyol,0 - 2
Temporada2018,18 Ene 18,Leganés,Real Madrid,0 - 1
Temporada2018,24 Ene 18,Real Madrid,Leganés,1 - 2
Temporada2018,17 Ene 18,Espanyol,Barcelona,1 - 0
Temporada2018,25 Ene 18,Barcelona,Espanyol,2 - 0
Temporada2018,23 Ene 18,Sevilla,Atlético Madrid,3 - 1
Temporada2018,17 Ene 18,Atlético Madrid,Sevilla,1 - 2
Temporada2018,17 Ene 18,Valencia,Alavés,2 - 1
Temporada2018,24 Ene 18,Alavés,Valencia,2 - 1
Temporada2018,01 Feb 18,Barcelona,Valencia,1 - 0
Temporada2018,08 Feb 18,Valencia,Barcelona,0 - 2
Temporada2018,31 Ene 18,Leganés,Sevilla,1 - 1
Temporada2018,07 Feb 18,Sevilla,Leganés,2 - 0
Temporada2018,21 Abr 18,Sevilla,Barcelona,0 - 5
Temporada2017,31 Ago 16,Racing Ferrol,Zamora,3 - 2
Temporada2017,31 Ago 16,Boiro,Guijuelo,1 - 3
Temporada2017,31 Ago 16,Caudal Deportivo,Burgos,2 - 1
Temporada2017,31 Ago 16,Cirbonero,Ponferradina,0 - 0
Temporada2017,31 Ago 16,Laredo,Cultural Leonesa,2 - 3
Temporada2017,31 Ago 16,Barakaldo,SD Zamudio,4 - 0
Temporada2017,31 Ago 16,CD Calahorra,UD Logroñés,0 - 0
Temporada2017,31 Ago 16,CD Toledo,Conquense,2 - 0
Temporada2017,31 Ago 16,Sestao River,Villa Santa Brígida,4 - 2
Temporada2017,31 Ago 16,Amorebieta,UD Yugo Socuéllamos,2 - 1
Temporada2017,31 Ago 16,Albacete,Real Unión de Irún,2 - 1
Temporada2017,31 Ago 16,Lleida Esportiu,AE Prat,1 - 0
Temporada2017,31 Ago 16,Andorra,Hércules,0 - 5
Temporada2017,31 Ago 16,Extremadura,Mancha Real,5 - 0
Temporada2017,31 Ago 16,Lorca Deportiva,Lorca FC,1 - 2
Temporada2017,31 Ago 16,At. Sanluqueño,Real Murcia,1 - 0
Temporada2017,31 Ago 16,Cornellà,Sanse,2 - 1
Temporada2017,31 Ago 16,At. Saguntino,SD Formentera,1 - 1
Temporada2017,07 Sep 16,Real Zaragoza,Real Valladolid,1 - 2
Temporada2017,06 Sep 16,Mirandés,Elche,2 - 2
Temporada2017,08 Sep 16,Huesca,Girona,1 - 0
Temporada2017,06 Sep 16,Lugo,Tenerife,1 - 2
Temporada2017,07 Sep 16,Cádiz,Levante,1 - 1
Temporada2017,06 Sep 16,Almería,Rayo Vallecano,0 - 2
Temporada2017,08 Sep 16,Alcorcón,Getafe,1 - 0
Temporada2017,07 Sep 16,Real Mallorca,Reus Deportiu,1 - 0
Temporada2017,07 Sep 16,Gimnàstic Tarragona,Numancia,1 - 0
Temporada2017,07 Sep 16,Racing,Llagostera,2 - 1
Temporada2017,08 Sep 16,UCAM Murcia,Real Oviedo,4 - 3
Temporada2017,07 Sep 16,Albacete,Arenas de Getxo,2 - 0
Temporada2017,07 Sep 16,Caudal Deportivo,Lleida Esportiu,1 - 0
Temporada2017,07 Sep 16,F.C. Cartagena,Hércules,1 - 1
Temporada2017,07 Sep 16,Barakaldo,Amorebieta,3 - 3
Temporada2017,07 Sep 16,Tudelano,At. Sanluqueño,1 - 0
Temporada2017,07 Sep 16,Racing Ferrol,Cirbonero,0 - 0
Temporada2017,07 Sep 16,Guijuelo,Sestao River,1 - 0
Temporada2017,07 Sep 16,CD Toledo,Alcoyano,4 - 0
Temporada2017,07 Sep 16,Cornellà,Extremadura,3 - 1
Temporada2017,07 Sep 16,Cultural Leonesa,CD Calahorra,3 - 1
Temporada2017,07 Sep 16,SD Formentera,Lorca FC,2 - 2
Temporada2017,12 Oct 16,Racing,Amorebieta,2 - 0
Temporada2017,12 Oct 16,Cirbonero,Guijuelo,1 - 2
Temporada2017,12 Oct 16,Tudelano,SD Formentera,0 - 0
Temporada2017,12 Oct 16,CD Toledo,Caudal Deportivo,4 - 1
Temporada2017,12 Oct 16,Cultural Leonesa,Albacete,2 - 1
Temporada2017,12 Oct 16,Hércules,Cornellà,2 - 1
Temporada2017,12 Oct 16,Rayo Vallecano,Gimnàstic Tarragona,1 - 1
Temporada2017,12 Oct 16,Cádiz,Córdoba,1 - 2
Temporada2017,11 Oct 16,Elche,Alcorcón,0 - 1
